"pathogen","estimate","se","viral_family","has_prototype","airborne","ci_lower","ci_upper"
"chikungunya",0.0632034877271,0.0290749600085924,"togaviridae",TRUE,FALSE,0.00621656611025894,0.120190409343941
"coronavirus",0.231652867982611,0.0273881887574185,"coronaviridae",TRUE,TRUE,0.177972018018071,0.285333717947151
"crimean_congo_hemorrhagic_fever",0.0148159950148351,0.0082961298017682,"nairoviridae",FALSE,FALSE,-0.00144441939663055,0.0310764094263008
"ebola",0.036632196242801,0.0106790847180493,"filoviridae",TRUE,FALSE,0.0157011901954244,0.0575632022901777
"flu",0.332704479846154,0.0619963137304796,"orthomyxoviridae",TRUE,TRUE,0.211191704934414,0.454217254757893
"lassa",0.0189599991588392,0.00775314875913584,"arenaviridae",FALSE,FALSE,0.00376382759093299,0.0341561707267455
"nipah",0.0563291659397707,0.0314034146209812,"paramyxoviridae",TRUE,FALSE,-0.00522152671735253,0.117879858596894
"other_known_virus",0,0,NA,NA,NA,0,0
"rift_valley_fever",0.0312990762037986,0.0157009722473089,"phenuiviridae",FALSE,FALSE,0.000525170599073102,0.0620729818085242
"unknown_virus",0.136495840224092,0.0288853003788555,"unknown",FALSE,NA,0.0798806514815352,0.193111028966649
"zika",0.0779068916599985,0.0193925606508284,"flaviviridae",TRUE,FALSE,0.0398974727843749,0.115916310535622
