year,deaths,population,severity
1980,1990.89471070227,4447606208,0.00447632865320048
1981,18535.8090947263,4528777285,0.040928948208868
1982,23669.5674818166,4612673436,0.0513142059810379
1983,31031.6648042348,4697327604,0.0660623814651757
1984,43513.9350599549,4782175500,0.0909919241984216
1985,62083.1066341393,4868943460,0.127508374546085
1986,87860.4524258843,4958072822,0.177206861577404
1987,125492.749053999,5049746378,0.248512974039107
1988,172000.524799262,5141992550,0.334501699733622
1989,232480.81495143,5234431714,0.444137640251639
1990,305944.915540259,5327803075,0.574242161794351
1991,390573.239918865,5418735879,0.720782943919649
1992,491451.455770951,5505989821,0.892576034006713
1993,599711.887818827,5591544841,1.07253344982846
1994,719663.933012302,5675551281,1.26800710165639
1995,835479.892535385,5758878997,1.45076827099617
1996,943671.765539326,5842055726,1.61530770981784
1997,1048223.32334812,5924787787,1.76921665557053
1998,1158623.65091669,6007066714,1.92876774319222
1999,1270422.57066271,6089006330,2.08642018387048
2000,1369801.76022218,6171703018,2.21948748380649
2001,1453858.1060365,6254936479,2.32433712303492
2002,1525113.31189387,6337730319,2.40640297887354
2003,1579684.41544869,6420361649,2.46042902535674
2004,1597980.01588482,6503377778,2.45715391360249
2005,1575235.69578957,6586970145,2.39144198487873
2006,1517458.88828756,6671452018,2.27455565024429
2007,1431477.57791409,6757308750,2.11841375150142
2008,1345087.96345312,6844457675,1.96522212178501
2009,1264019.88770562,6932766459,1.82325467788503
2010,1190882.57207472,7021732131,1.69599544650405
2011,1122120.45069239,7110923797,1.57802345057585
2012,1046888.98350308,7201202531,1.45376967110201
2013,980400.622790902,7291793608,1.34452601855774
2014,933360.513641983,7381616239,1.26443922770012
2015,898289.898215819,7470491904,1.20245080211497
2016,869970.019635897,7558554580,1.15097405254947
2017,840849.009997407,7645618013,1.09977899571715
2018,814620.058275088,7729902724,1.05385551068558
2019,788395.655690389,7811293714,1.00930228020663
2020,754751.877878826,7887001284,0.956956707246843
2021,718079.217957511,7954448405,0.902739173600197
