disease,has_prototype,respondent,cost_range,value_min,value_max,pathogen
cchf,0,4,$10-99m,10.0,99.0,crimean-congo hemorrhagic fever
cchf,0,5,$100-999m,100.0,999.0,crimean-congo hemorrhagic fever
cchf,0,11,$100-999m,100.0,999.0,crimean-congo hemorrhagic fever
cchf,0,18,$100-999m,100.0,999.0,crimean-congo hemorrhagic fever
cchf,1,4,$10-99m,10.0,99.0,crimean-congo hemorrhagic fever
cchf,1,5,$100-999m,100.0,999.0,crimean-congo hemorrhagic fever
cchf,1,11,$100-999m,100.0,999.0,crimean-congo hemorrhagic fever
cchf,1,18,$100-999m,100.0,999.0,crimean-congo hemorrhagic fever
chikungunya,1,4,$100-999m,100.0,999.0,chikungunya
chikungunya,1,5,$10-99m,10.0,99.0,chikungunya
chikungunya,1,11,$10-99m,10.0,99.0,chikungunya
chikungunya,1,18,$100-999m,100.0,999.0,chikungunya
covid-19,1,4,$100-999m,100.0,999.0,coronavirus
covid-19,1,5,$10-99m,10.0,99.0,coronavirus
covid-19,1,11,$100-999m,100.0,999.0,coronavirus
covid-19,1,18,$10-99m,10.0,99.0,coronavirus
ebola,1,4,$100-999m,100.0,999.0,ebola
ebola,1,5,$100-999m,100.0,999.0,ebola
ebola,1,11,$10-99m,10.0,99.0,ebola
ebola,1,18,$100-999m,100.0,999.0,ebola
flu,0,4,$10-99m,10.0,99.0,flu
flu,0,5,$100-999m,100.0,999.0,flu
flu,0,11,$100-999m,100.0,999.0,flu
flu,0,17,$100-999m,100.0,999.0,flu
flu,0,18,$100-999m,100.0,999.0,flu
flu,1,4,$100-999m,100.0,999.0,flu
flu,1,5,$1-4b,1.0,4.0,flu
flu,1,11,$10-99m,10.0,99.0,flu
flu,1,18,$100-999m,100.0,999.0,flu
lassa,0,4,$0-9m,0.0,9.0,lassa
lassa,0,5,$100-999m,100.0,999.0,lassa
lassa,0,11,$100-999m,100.0,999.0,lassa
lassa,0,18,$100-999m,100.0,999.0,lassa
lassa,1,4,$100-999m,100.0,999.0,lassa
lassa,1,5,$10-99m,10.0,99.0,lassa
lassa,1,11,$100-999m,100.0,999.0,lassa
lassa,1,18,$100-999m,100.0,999.0,lassa
mers,0,4,$0-9m,0.0,9.0,coronavirus
mers,0,5,$100-999m,100.0,999.0,coronavirus
mers,0,11,$100-999m,100.0,999.0,coronavirus
mers,0,17,$100-999m,100.0,999.0,coronavirus
mers,0,18,$100-999m,100.0,999.0,coronavirus
mers,1,4,$10-99m,10.0,99.0,coronavirus
mers,1,5,$100-999m,100.0,999.0,coronavirus
mers,1,11,$100-999m,100.0,999.0,coronavirus
mers,1,18,$100-999m,100.0,999.0,coronavirus
nipah,0,4,$0-9m,0.0,9.0,nipah
nipah,0,5,$10-99m,10.0,99.0,nipah
nipah,0,11,$100-999m,100.0,999.0,nipah
nipah,0,18,$100-999m,100.0,999.0,nipah
nipah,1,4,$10-99m,10.0,99.0,nipah
nipah,1,5,$10-99m,10.0,99.0,nipah
nipah,1,11,$100-999m,100.0,999.0,nipah
nipah,1,18,$100-999m,100.0,999.0,nipah
rift_valley_fever,0,4,$10-99m,10.0,99.0,rift_valley_fever
rift_valley_fever,0,5,$10-99m,10.0,99.0,rift_valley_fever
rift_valley_fever,0,11,$100-999m,100.0,999.0,rift_valley_fever
rift_valley_fever,0,18,$100-999m,100.0,999.0,rift_valley_fever
rift_valley_fever,1,4,$10-99m,10.0,99.0,rift_valley_fever
rift_valley_fever,1,5,$10-99m,10.0,99.0,rift_valley_fever
rift_valley_fever,1,11,$100-999m,100.0,999.0,rift_valley_fever
rift_valley_fever,1,18,$100-999m,100.0,999.0,rift_valley_fever
zika,0,4,$10-99m,10.0,99.0,zika
zika,0,5,$100-999m,100.0,999.0,zika
zika,0,11,$100-999m,100.0,999.0,zika
zika,0,17,$100-999m,100.0,999.0,zika
zika,0,18,$100-999m,100.0,999.0,zika
zika,1,4,$100-999m,100.0,999.0,zika
zika,1,5,$100-999m,100.0,999.0,zika
zika,1,11,$10-99m,10.0,99.0,zika
zika,1,18,$100-999m,100.0,999.0,zika
