disease,has_prototype,respondent,years_min,years_max,pathogen
cchf,0,4,0.0,3.0,crimean_congo_hemorrhagic_fever
cchf,0,5,4.0,5.0,crimean_congo_hemorrhagic_fever
cchf,0,11,6.0,7.0,crimean_congo_hemorrhagic_fever
cchf,0,18,6.0,7.0,crimean_congo_hemorrhagic_fever
cchf,1,4,1.0,2.0,crimean_congo_hemorrhagic_fever
cchf,1,5,1.0,2.0,crimean_congo_hemorrhagic_fever
cchf,1,11,6.0,7.0,crimean_congo_hemorrhagic_fever
cchf,1,18,1.0,2.0,crimean_congo_hemorrhagic_fever
chikungunya,1,4,1.0,2.0,chikungunya
chikungunya,1,5,0.5,0.9166666666666666,chikungunya
chikungunya,1,11,3.0,5.0,chikungunya
chikungunya,1,18,1.0,2.0,chikungunya
covid-19,1,4,0.5,0.9166666666666666,coronavirus
covid-19,1,5,0.5,0.9166666666666666,coronavirus
covid-19,1,11,3.0,5.0,coronavirus
covid-19,1,18,0.0,0.5,coronavirus
ebola,1,4,1.0,2.0,ebola
ebola,1,5,1.0,2.0,ebola
ebola,1,11,3.0,5.0,ebola
ebola,1,18,1.0,2.0,ebola
flu,0,4,0.0,3.0,flu
flu,0,5,6.0,7.0,flu
flu,0,11,4.0,5.0,flu
flu,0,17,0.0,3.0,flu
flu,0,18,0.0,3.0,flu
flu,1,4,0.5,0.9166666666666666,flu
flu,1,5,1.0,2.0,flu
flu,1,11,3.0,5.0,flu
flu,1,18,0.0,0.5,flu
lassa,0,4,0.0,3.0,lassa
lassa,0,5,6.0,7.0,lassa
lassa,0,11,6.0,7.0,lassa
lassa,0,18,4.0,5.0,lassa
lassa,1,4,1.0,2.0,lassa
lassa,1,5,1.0,2.0,lassa
lassa,1,11,3.0,5.0,lassa
lassa,1,18,1.0,2.0,lassa
mers,0,4,0.0,3.0,coronavirus
mers,0,5,6.0,7.0,coronavirus
mers,0,11,6.0,7.0,coronavirus
mers,0,17,0.0,3.0,coronavirus
mers,0,18,4.0,5.0,coronavirus
mers,1,4,1.0,2.0,coronavirus
mers,1,5,3.0,5.0,coronavirus
mers,1,11,3.0,5.0,coronavirus
mers,1,18,1.0,2.0,coronavirus
nipah,0,4,0.0,3.0,nipah
nipah,0,5,4.0,5.0,nipah
nipah,0,11,6.0,7.0,nipah
nipah,0,18,4.0,5.0,nipah
nipah,1,4,1.0,2.0,nipah
nipah,1,5,0.5,0.9166666666666666,nipah
nipah,1,11,3.0,5.0,nipah
nipah,1,18,1.0,2.0,nipah
rift_valley_fever,0,4,4.0,5.0,rift_valley_fever
rift_valley_fever,0,5,4.0,5.0,rift_valley_fever
rift_valley_fever,0,11,8.0,10.0,rift_valley_fever
rift_valley_fever,0,18,4.0,5.0,rift_valley_fever
rift_valley_fever,1,4,3.0,5.0,rift_valley_fever
rift_valley_fever,1,5,1.0,2.0,rift_valley_fever
rift_valley_fever,1,11,3.0,5.0,rift_valley_fever
rift_valley_fever,1,18,1.0,2.0,rift_valley_fever
zika,0,4,4.0,5.0,zika
zika,0,5,8.0,10.0,zika
zika,0,11,4.0,5.0,zika
zika,0,17,0.0,3.0,zika
zika,0,18,4.0,5.0,zika
zika,1,4,1.0,2.0,zika
zika,1,5,3.0,5.0,zika
zika,1,11,3.0,5.0,zika
zika,1,18,1.0,2.0,zika
